provider,region_id,label,city,country,lat,lon,coord_precision,accelerators,detail,status,sources
AWS,eu-west-2,London,London,United Kingdom,51.5074,-0.1278,city,AWS Trainium,Trn3 and P6 accelerated instances in new AZ eu-west-2d,operating,https://aws.amazon.com/about-aws/whats-new/2026/08/aws-iam-increased-quota/
AWS,ap-northeast-2,Seoul,Seoul,South Korea,37.5667,126.9783,city,NVIDIA GPU,p6-b300 (B300) - only non-US AWS B300 region,operating,https://instances.vantage.sh/
AWS,ap-south-1,Mumbai,Mumbai,India,19.055,72.8692,city,NVIDIA GPU,p6-b200 (B200) - only non-US AWS B200 region,operating,https://instances.vantage.sh/
AWS,me-central-1,UAE,Abu Dhabi,United Arab Emirates,24.4538,54.3774,city,NVIDIA GPU,p5en (H200),operating,https://instances.vantage.sh/
Microsoft Azure,koreacentral,Korea Central,Seoul,South Korea,37.5667,126.9783,city,NVIDIA GPU,ND GB200 v6,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,koreasouth,Korea South,Busan,South Korea,35.1796,129.0756,city,NVIDIA GPU,ND GB200 v6 incl. confidential-compute variant,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,indonesiacentral,Indonesia Central,Jakarta,Indonesia,-6.1751,106.865,city,NVIDIA GPU,ND GB200 v6,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,uaecentral,UAE Central,Abu Dhabi,United Arab Emirates,24.4538,54.3774,city,NVIDIA GPU,ND GB200 v6,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,southindia,South India,Chennai,India,13.0827,80.2707,city,NVIDIA GPU,ND GB200 v6,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,brazilsouth,Brazil South,Sao Paulo,Brazil,-23.5507,-46.6334,city,NVIDIA GPU,ND GB200 v6 + MI300X,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,italynorth,Italy North,Milan,Italy,45.4642,9.1896,city,NVIDIA GPU,ND GB200 v6,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,spaincentral,Spain Central,Madrid,Spain,40.4168,-3.7038,city,NVIDIA GPU,ND GB200 v6,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,germanywestcentral,Germany West Central,Frankfurt,Germany,50.1106,8.6821,city,NVIDIA GPU,ND GB200 v6 + MI300X,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,uksouth,UK South,London,United Kingdom,51.5074,-0.1278,city,NVIDIA GPU,ND GB200 v6 + MI300X,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,australiaeast,Australia East,Sydney,Australia,-33.8698,151.2083,city,NVIDIA GPU,ND GB200 v6,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,canadaeast,Canada East,Quebec City,Canada,46.8139,-71.208,city,NVIDIA GPU,ND GB200 v6,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,swedencentral,Sweden Central,Gavle,Sweden,60.6749,17.1413,city,NVIDIA GPU,H200 + MI300X,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,norwayeast,Norway East,Oslo,Norway,59.9139,10.7522,city,NVIDIA GPU,H200,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,polandcentral,Poland Central,Warsaw,Poland,52.2297,21.0122,city,NVIDIA GPU,H200 + MI300X,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,southafricanorth,South Africa North,Johannesburg,South Africa,-26.2041,28.0473,city,NVIDIA GPU,H200 + H100,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,malaysiawest,Malaysia West,Kuala Lumpur,Malaysia,3.139,101.6869,city,NVIDIA GPU,H200,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,mexicocentral,Mexico Central,Queretaro,Mexico,20.5888,-100.3899,city,NVIDIA GPU,H200,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,japaneast,Japan East,Tokyo,Japan,35.6769,139.7639,city,NVIDIA GPU,H200 + H100,operating,https://prices.azure.com/api/retail/prices
Microsoft Azure,uaenorth,UAE North,Dubai,United Arab Emirates,25.2048,55.2708,city,NVIDIA GPU,H200 + MI300X,operating,https://prices.azure.com/api/retail/prices
CoreWeave,eu-north,Nordics,Falun,Sweden,60.6065,15.6355,city,NVIDIA GPU,GPU availability zones in Sweden Norway and Denmark,operating,https://docs.coreweave.com/platform/regions/all-availability-zones
CoreWeave,eu-south,Spain,Barcelona,Spain,41.3874,2.1686,city,NVIDIA GPU,three availability zones in Spain,operating,https://docs.coreweave.com/platform/regions/all-availability-zones
CoreWeave,eu-west,UK,London,United Kingdom,51.5074,-0.1278,city,NVIDIA GPU,two availability zones in the UK,operating,https://docs.coreweave.com/platform/regions/all-availability-zones
CoreWeave,ca-east,Ontario,Toronto,Canada,43.6535,-79.3839,city,NVIDIA GPU,one Canadian availability zone,operating,https://docs.coreweave.com/platform/regions/all-availability-zones
Oracle OCI,multi-region,OCI GPU shapes,Austin,United States,30.2711,-97.7437,city,Mixed,GB300/GB200/B300/B200/H200/H100 plus MI355X and MI300X shapes; per-region availability not published,operating,https://docs.oracle.com/en-us/iaas/Content/Compute/References/computeshapes.htm
